,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
45,ORDER RELATED ENQUIRY_MI PHONE_HOW TO CANCEL - ORDER,ORDER RELATED ENQUIRY_MI PHONE_DELIVERY STATUS,0.041639127561136816,0.17184401850627892,0.016523463317911435,0.39682539682539686,2.3092185592185595,0.009368028310710132,1.3729954430027482
57,ORDER RELATED ENQUIRY_MI PHONE_HOW TO CANCEL - ORDER,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.041639127561136816,0.48314606741573035,0.016523463317911435,0.39682539682539686,0.8213362864525656,-0.0035943174138737682,0.8568894145476049
17,ORDER RELATED COMPLAINT_MI PHONE_REFUND-ORDER CANCELLED WITHOUT INFORMING CUSTOMER,ORDER RELATED ENQUIRY_MI PHONE_DELIVERY STATUS,0.031064111037673495,0.17184401850627892,0.011896893588896233,0.3829787234042553,2.2286415711947627,0.006558711916857165,1.3421838320760306
129,TECHNICAL ENQUIRY_POCO_MIUI VERSION INQUIRY,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.1037673496364838,0.25776602775941837,0.038995373430270985,0.37579617834394907,1.457896455985628,0.01224767590335183,1.1890891187935848
51,PRE-SALE ENQUIRY_MI PHONE_PROCESS OF EXCHANGE,ORDER RELATED ENQUIRY_MI PHONE_DELIVERY STATUS,0.031725049570389956,0.17184401850627892,0.011896893588896233,0.375,2.1822115384615386,0.006445133583409525,1.3250495703899536
4,ORDER RELATED COMPLAINT_MI PHONE_REFUND-ORDER REJECTED BY CUSTOMER,ORDER RELATED COMPLAINT_FOLLOW UP_FOLLOW UP ON COMPLAINT,0.03040317250495704,0.1116986120290813,0.011235955056179775,0.3695652173913043,3.3085927450475943,0.007839962886095347,1.40902978781594
62,ORDER RELATED ENQUIRY_MI TV & MI BOX_INSTALLATION & DEMO STATUS ENQUIRY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.04296100462656973,0.48314606741573035,0.01520158625247852,0.35384615384615387,0.7323792486583185,-0.005554854185077642,0.7998929909042268
135,TECHNICAL TROUBLESHOOTING_MI LAPTOP_TOUCHPAD NOT WORKING,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.03238598810310641,0.25776602775941837,0.011235955056179775,0.3469387755102041,1.3459445316588174,0.002887947547778255,1.1365457699933905
130,TECHNICAL FEEDBACK_POCO_SPARE PARTS ENQUIRY,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.0403172504957039,0.25776602775941837,0.013879709187045605,0.3442622950819672,1.335561160151324,0.0034872916765865698,1.1319068076668868
22,ORDER RELATED ENQUIRY_ACCESSORIES_DELIVERY STATUS,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.0356906807666887,0.48314606741573035,0.011896893588896233,0.3333333333333333,0.6899224806201549,-0.005346918466919658,0.7752808988764043
69,ORDER RELATED ENQUIRY_MI TV & MI BOX_TV INSTALLATION METHODS,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.034368803701255786,0.25776602775941837,0.011235955056179775,0.32692307692307687,1.2682938856015777,0.002376845047263876,1.1027476159002927
